sample_name	all_variant_count	filter_min_depth_count	filter_max_depth_count	filter_common_var_count	log_mut_count	COSMIC_count
001-F0_S3_L001_001	70284	29614	29613	9937	3.997255289820103	67
001-F0_S3_L002_001	68463	28690	28689	9507	3.978043493909963	55
001-F0_S3_L003_001	70585	29638	29637	9957	3.9981285071282664	72
001-F0_S3_L004_001	68144	28679	28678	9514	3.9783631470838827	68
001-F5_S2_L001_001	69586	29071	29070	9657	3.984842231405276	64
001-F5_S2_L002_001	67729	28173	28172	9184	3.963031875053898	59
001-F5_S2_L003_001	70191	29269	29268	9743	3.988692702549817	65
001-F5_S2_L004_001	67388	28084	28084	9192	3.9634100156802288	65
004-F0_S5_L001_001	49403	20839	20839	6385	3.805160901599434	49
004-F0_S5_L002_001	48789	20366	20366	6158	3.789439684567179	47
004-F0_S5_L003_001	49192	20629	20629	6323	3.8009231818132183	45
004-F0_S5_L004_001	49143	20689	20689	6310	3.8000293592441343	44
004-F5_S4_L001_001	49518	22214	22214	6642	3.8222988712623662	48
004-F5_S4_L002_001	49015	21955	21955	6547	3.816042340921997	54
004-F5_S4_L003_001	49470	22233	22233	6660	3.823474229170301	57
004-F5_S4_L004_001	49008	22080	22080	6641	3.822233480238844	49
004-primary_S1_L001_001	91150	37974	37974	14119	4.149803938227023	81
004-primary_S1_L002_001	90016	37916	37916	14123	4.14992695911359	69
004-primary_S1_L003_001	90921	38120	38120	14142	4.150510832907967	77
004-primary_S1_L004_001	90491	38138	38137	14190	4.151982395457474	78
005-F0_S3_L001_001	63932	28734	28732	9593	3.9819544444699737	68
005-F0_S3_L002_001	62944	28572	28570	9544	3.9797304306622854	73
005-F0_S3_L003_001	63912	28820	28818	9618	3.9830847727377883	67
005-F0_S3_L004_001	63183	28449	28447	9494	3.9774492273823414	70
005-F5_S2_L001_001	56747	25419	25418	8369	3.922673567858554	59
005-F5_S2_L002_001	56115	25125	25124	8226	3.9151887051731564	54
005-F5_S2_L003_001	56545	25398	25397	8374	3.922932956555212	60
005-F5_S2_L004_001	56332	25315	25315	8354	3.9218944709291024	57
005-primary_S6_L001_001	107199	38641	38639	14876	4.172486169686935	85
005-primary_S6_L002_001	104478	38418	38416	14804	4.170379076423075	88
005-primary_S6_L003_001	106679	38892	38890	15053	4.177623061631355	83
005-primary_S6_L004_001	105377	38607	38605	14878	4.172544554372363	85
006-F0_S6_L001_001	76612	33922	33920	12505	4.097083696066521	60
006-F0_S6_L002_001	74154	32942	32939	11894	4.0753279341632584	55
006-F0_S6_L003_001	76632	34025	34023	12515	4.097430853944242	60
006-F0_S6_L004_001	74408	32943	32941	11970	4.078094150406411	59
006-F5_S1_L001_001	81704	32354	32352	12534	4.0980896903639525	57
006-F5_S1_L002_001	79333	31410	31408	11899	4.075510464524414	51
006-F5_S1_L003_001	81904	32549	32548	12532	4.098020386209668	56
006-F5_S1_L004_001	79030	31365	31364	11929	4.076604038583611	52
008-F0_S1_L001_001	80427	35104	35103	13737	4.13789189824736	79
008-F0_S1_L002_001	79314	34782	34781	13427	4.127978988916909	81
008-F0_S1_L003_001	78683	34636	34635	13448	4.128657700431415	75
008-F0_S1_L004_001	79936	35191	35190	13775	4.139091607523823	75
008-F5_S2_L001_001	53362	23118	23117	7447	3.871981353843369	54
008-F5_S2_L002_001	52769	22751	22750	7293	3.862906213562998	52
008-F5_S2_L003_001	52975	22948	22948	7298	3.8632038590286295	53
008-F5_S2_L004_001	53683	23249	23249	7530	3.8767949762007006	55
018-F0_S3_L001_001	64332	30241	30240	10988	4.040918650748524	72
018-F0_S3_L002_001	63592	29985	29984	10846	4.035269600099436	61
018-F0_S3_L003_001	63761	29935	29935	10745	4.031206419827462	67
018-F0_S3_L004_001	64529	30446	30445	11010	4.0417873189717515	65
018-F5_S4_L001_001	57623	25196	25195	8320	3.920123326290724	63
018-F5_S4_L002_001	57312	25129	25128	8321	3.9201755220100227	64
018-F5_S4_L003_001	57342	24991	24990	8215	3.9146075677710805	58
018-F5_S4_L004_001	57852	25363	25362	8340	3.921166050637739	55
019-F0_S5_L001_001	47807	20043	20042	5729	3.7580788222496126	55
019-F0_S5_L002_001	47398	19925	19924	5698	3.755722444903458	52
019-F0_S5_L003_001	47387	19773	19772	5602	3.7483431044875495	50
019-F0_S5_L004_001	47774	20118	20117	5710	3.756636108245848	52
019-F5_S6_L001_001	69095	31615	31614	11494	4.060471192797679	67
019-F5_S6_L002_001	68472	31335	31334	11339	4.054574755294823	67
019-F5_S6_L003_001	68336	31240	31239	11203	4.049334335972284	68
019-F5_S6_L004_001	69124	31706	31705	11437	4.058312121108386	70
029-F0_S5_L001_001	69735	29320	29319	10247	4.010596736206526	66
029-F0_S5_L002_001	67524	28386	28385	9841	3.9930392318069097	59
029-F0_S5_L003_001	69911	29596	29595	10392	4.016699138064971	66
029-F0_S5_L004_001	67442	28311	28310	9798	3.991137435120312	63
029-F5_S4_L001_001	92601	37038	37037	14769	4.169351090492418	73
029-F5_S4_L002_001	89769	36238	36237	14287	4.154941044730327	74
029-F5_S4_L003_001	93272	37221	37219	14927	4.173972532817962	77
029-F5_S4_L004_001	89547	35960	35959	14125	4.149988456491476	77
030-F0_S1_L001_001	44969	17587	17586	4976	3.696880371682762	55
030-F0_S1_L002_001	44220	17005	17004	4824	3.683407299132095	54
030-F0_S1_L003_001	45305	17559	17558	4937	3.6934631272195313	51
030-F0_S1_L004_001	44614	17134	17133	4783	3.679700380871964	50
030-F5_S6_L001_001	31049	9600	9599	2344	3.369957607346053	22
030-F5_S6_L002_001	30481	9115	9114	2176	3.3376588910261424	33
030-F5_S6_L003_001	31023	9453	9452	2302	3.362105319293773	29
030-F5_S6_L004_001	30543	9251	9250	2245	3.351216345339342	21
032-F0_S5_L001_001	103801	38865	38863	15700	4.195899652409234	70
032-F0_S5_L002_001	101331	38396	38393	15359	4.186362940394731	69
032-F0_S5_L003_001	104024	38923	38921	15777	4.19802442553312	66
032-F0_S5_L004_001	102668	38516	38513	15497	4.190247633038196	66
032-F5_S3_L001_001	205446	46181	46177	20700	4.315970345456917	79
032-F5_S3_L002_001	199462	45874	45872	20383	4.309268104477122	69
032-F5_S3_L003_001	206108	46346	46344	20735	4.316704039700037	80
032-F5_S3_L004_001	202515	46043	46040	20529	4.312367794715973	75
040-F0_S2_L001_001	42842	15793	15792	4324	3.6358856852812727	25
040-F0_S2_L002_001	42333	15473	15473	4295	3.632963168167261	29
040-F0_S2_L003_001	43087	15846	15845	4341	3.6375897858387	31
040-F0_S2_L004_001	42547	15438	15437	4235	3.6268534146667255	35
040-F5_S4_L001_001	61857	25120	25120	8265	3.9172428579074663	57
040-F5_S4_L002_001	60552	24558	24558	8010	3.9036325160842376	52
040-F5_S4_L003_001	61978	25147	25147	8264	3.917190308511564	50
040-F5_S4_L004_001	61228	24680	24679	8110	3.909020854211156	48
KS25_S6_L001_001	55281	22268	22267	6687	3.8252313231999002	56
KS25_S6_L002_001	54659	22036	22035	6564	3.8171685723810556	57
KS25_S6_L003_001	55037	22285	22284	6674	3.824386202318774	58
KS25_S6_L004_001	54927	22164	22163	6629	3.8214480190175304	55
KS26_S5_L001_001	74816	32274	32273	11606	4.0646825662285115	73
KS26_S5_L002_001	73984	32219	32218	11619	4.0651687517057455	74
KS26_S5_L003_001	74479	32216	32216	11615	4.065019214136254	68
KS26_S5_L004_001	74477	32329	32328	11698	4.068111617027303	77
KS27_S1_L001_001	76451	34106	34105	13103	4.117370741020906	68
KS27_S1_L002_001	75868	33598	33597	12855	4.109072080978879	72
KS27_S1_L003_001	75979	33810	33808	13052	4.115677065115837	69
KS27_S1_L004_001	75783	33945	33944	13098	4.117204986092783	74
KS28_S3_L001_001	93358	36088	36087	14210	4.1525940779274695	73
KS28_S3_L002_001	91840	35623	35622	13866	4.141951195862753	79
KS28_S3_L003_001	92724	35846	35845	14013	4.1465311220074454	80
KS28_S3_L004_001	92038	35845	35844	14013	4.1465311220074454	71
KS29_S2_L001_001	71806	28112	28111	9997	3.999869692108268	62
KS29_S2_L002_001	70597	27923	27921	9965	3.9984773030365064	63
KS29_S2_L003_001	71845	28086	28085	9936	3.997211582832505	59
KS29_S2_L004_001	71485	28068	28067	10022	4.000954398406458	58
KS30_S4_L001_001	94960	34299	34298	13677	4.135990846921625	65
KS30_S4_L002_001	93185	33929	33928	13474	4.12949654301666	65
KS30_S4_L003_001	94219	34114	34113	13615	4.134017645675983	66
KS30_S4_L004_001	93743	34011	34010	13490	4.130011949671904	68
